locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4280.1		PA4280.1	rRNA	5S ribosomal RNA	false		refseq|kegg	false
PA4280.2		PA4280.2	rRNA	23S ribosomal RNA	false		refseq|kegg	false
PA4280.3		PA4280.3	tRNA	tRNA-Ala	false		refseq|kegg	false
PA4280.4		PA4280.4	tRNA	tRNA-Ile	false		refseq|kegg	false
PA4280.5		PA4280.5	rRNA	16S ribosomal RNA	false		refseq|kegg	false
PA4281	sbcD	PA4281	protein_coding	exonuclease SbcD	false		refseq|kegg|uniprot	false
PA4282	sbcC	PA4282	protein_coding	exonuclease	false		refseq|kegg|uniprot|uniprot_especie	false
PA4283	recD	PA4283	protein_coding	exodeoxyribonuclease V subunit alpha	false		refseq|kegg|uniprot	false
PA4284	recB	PA4284	protein_coding	exodeoxyribonuclease V subunit beta	false		refseq|kegg|uniprot	false
PA4285	recC	PA4285	protein_coding	exodeoxyribonuclease V subunit gamma	false		refseq|kegg|uniprot	false
PA4286		PA4286	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4287		PA4287	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4288		PA4288	protein_coding	transcriptional regulator	true	go_0003700|go_0006355|kw_transcription_regulation|producto_refseq	refseq|kegg|uniprot	false
PA4289		PA4289	protein_coding	transporter	false		refseq|kegg|uniprot	false
PA4290		PA4290	protein_coding	chemotaxis transducer	false		refseq|kegg|uniprot	false
PA4291		PA4291	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4292		PA4292	protein_coding	phosphate transporter	false		refseq|kegg|uniprot	false
PA4293	pprA	PA4293	protein_coding	two-component sensor PprA	true	kw_two_component	refseq|kegg|uniprot|uniprot_especie	false
PA4294		PA4294	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4295	fppA	PA4295	protein_coding	Flp prepilin peptidase FppA	false		refseq|kegg|uniprot	false
PA4296	pprB	PA4296	protein_coding	two-component response regulator PprB	true	go_0003700|go_0006355|kw_transcription_regulation|kw_two_component|producto_refseq	refseq|kegg|uniprot|uniprot_especie	false
PA4297	tadG	PA4297	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4298		PA4298	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4299	tadD	PA4299	protein_coding	type II secretion system protein TadD	false		refseq|kegg|uniprot|uniprot_especie	false
PA4300	tadC	PA4300	protein_coding	type II secretion system protein TadC	false		refseq|kegg|uniprot	false
PA4301	tadB	PA4301	protein_coding	type II secretion system protein TadB	false		refseq|kegg|uniprot	false
PA4302	tadA	PA4302	protein_coding	ATPase TadA	false		refseq|kegg|uniprot	false
PA4303	tadZ	PA4303	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4304	rcpA	PA4304	protein_coding	type II/III secretion system protein	false		refseq|kegg|uniprot	false
PA4305	rcpC	PA4305	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4306	flp	PA4306	protein_coding	type IVb pilin Flp	false		refseq|kegg|uniprot	true
PA4307	pctC	PA4307	protein_coding	chemotactic transducer PctC	false		refseq|kegg|uniprot|uniprot_especie	false
PA4308		PA4308	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4309	pctA	PA4309	protein_coding	chemotactic transducer PctA	false		refseq|kegg|uniprot|uniprot_especie	false
PA4310	pctB	PA4310	protein_coding	chemotactic transducer PctB	false		refseq|kegg|uniprot|uniprot_especie	false
PA4311		PA4311	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4312		PA4312	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4313		PA4313	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4314	purU1	PA4314|purU	protein_coding	formyltetrahydrofolate deformylase	false		refseq|kegg|uniprot	false
PA4315	mvaT	PA4315	protein_coding	transcriptional regulator MvaT	true	producto_refseq	refseq|kegg|uniprot	false
PA4316	sbcB	PA4316	protein_coding	exonuclease I	false		refseq|kegg|uniprot	false
PA4317		PA4317	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4318		PA4318	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4319		PA4319	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4320		PA4320	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4321		PA4321	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4322		PA4322	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4323		PA4323	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4324		PA4324	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
